model,config,f1_macro_mean,f1_macro_std,f1_0_mean,f1_0_std,f1_1_mean,f1_1_std,precision_1_mean,precision_1_std,recall_1_mean,recall_1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,f1_macro_train_mean,f1_macro_train_std,overfitting_gap,f1_macro_ci_low,f1_macro_ci_high,roc_auc_ci_low,roc_auc_ci_high
MultinomialNB,C,0.7798917536512502,0.01000606020791031,0.8416431473342059,0.005909358832948607,0.7181403599682945,0.014419129964139554,0.8250566599996839,0.011821747567377283,0.6360412244149173,0.02006886380221682,0.8446272463382055,0.008106839861687976,0.5757320458632874,0.018074219657399797,0.8568710316469431,0.0031472584468871475,0.07697927799569293,0.7703678654295059,0.7894530496762436,0.8359012914705718,0.855668770574208
ComplementNB,A,0.7705279631807145,0.004282980468742425,0.8134324583180538,0.002745476548162273,0.7276234680433752,0.006302696879472527,0.7274287614767382,0.004029750265124492,0.7279299997379249,0.01198379280393905,0.8439137950903428,0.008863708207584288,0.5411387542308945,0.00853813547956353,0.8750686351906813,0.0028687942489294157,0.10454067200996686,0.761337533599519,0.782009820820244,0.8355137179543825,0.8547226278487331
ComplementNB,B,0.7757726778616457,0.009381170483574657,0.8261376812389344,0.006868707689156348,0.7254076744843572,0.012035622181910077,0.7621453556778802,0.011013034862956975,0.6921135047304557,0.014379034684789151,0.8426937874394212,0.009559485809407776,0.5539595429686742,0.01854734007482743,0.8847417681527169,0.0022012926837658704,0.10896909029107116,0.7662681430527959,0.7859957290043549,0.8342050627107728,0.8529910434456117
ComplementNB,C,0.7704159087962303,0.008150717054899101,0.8128377970045108,0.0051042140840118445,0.7279940205879496,0.011303705250800943,0.7256778420103742,0.005837351588526544,0.7304668868097597,0.017991539812480167,0.8446272463382055,0.008106839861687976,0.5409487738496639,0.016293648840248722,0.8652927685014833,0.0009961600682272338,0.09487685970525295,0.7598418288133665,0.7808779785393319,0.8359067924474632,0.8556676641855093
LinearSVC,A,0.7651608344251081,0.015378625739801338,0.8180582133148029,0.010347740363450583,0.7122634555354133,0.02055248017431439,0.748645073419379,0.015813039060358088,0.6794598631967922,0.026154398706105034,0.8266228151831647,0.013981072884893657,0.5328318023527805,0.029973472284911287,0.9598993157224813,0.0013806368164596561,0.19473848129737326,0.7553745076598604,0.7766915786476282,0.8169992550820494,0.8370801236272399
LinearSVC,B,0.7658154251497736,0.013085688755810397,0.8188051043519531,0.008437074814636883,0.7128257459475942,0.017935912302258127,0.7503849795281169,0.012288144534705612,0.6790929580417748,0.02467169009581149,0.8261249254449895,0.012666686349363914,0.5343070487487304,0.025219859557314733,0.9720976557395942,0.001152721207122819,0.20628223058982054,0.7562820490452941,0.7766635582222963,0.8167160691297896,0.8363546315803715
LinearSVC,C,0.7681124192789732,0.006917564851456586,0.8205038886270624,0.0021891555152892092,0.7157209499308841,0.012606135742636417,0.7535934239162453,0.008647844746257917,0.6823492412925545,0.028849880512277295,0.8301782300591363,0.012091354529222168,0.5393274065838225,0.011974565177258431,0.9491768508316104,0.002905381597530862,0.18106443155263718,0.7585397074614469,0.7782098088712559,0.8203096445945047,0.8407663039855656
LinearSVC,D,0.7499844631975547,0.01396976262694428,0.808519758173394,0.010754579966024086,0.6914491682217152,0.017657343751888127,0.7367558931716693,0.019033656358177234,0.6515940718609954,0.01982280704792412,0.8127066912516347,0.00925126275836918,0.5037568502511125,0.0277844076540437,0.7587133115772257,0.003181660291661756,0.008728848379670917,0.7402603347056045,0.7608456394070626,0.8037145269990881,0.8247419993516437
LinearSVC_balanced,A,0.7575675317004036,0.014409829085548262,0.8037133305858706,0.010040995764716357,0.7114217328149364,0.018781981954203827,0.7138234815519751,0.013466167435406103,0.7091208690410672,0.023984679330494914,0.8250994623498814,0.014040388454099162,0.5152094370384384,0.02869350515597268,0.9650989553637583,0.002676095188288351,0.20753142366335475,0.7478340517639745,0.7691438703241168,0.8154338370294288,0.8353169132480686
LinearSVC_balanced,B,0.7579019866191313,0.014686709539444646,0.8042968580804875,0.010507191984635098,0.7115071151577752,0.018883915463186247,0.715092373219267,0.014074535558700123,0.7080352228948816,0.02377387322206597,0.8248343363319149,0.012664112877542887,0.5158878046640493,0.02929943700000281,0.9758015502929783,0.0008973489146823782,0.217899563673847,0.7481710883649523,0.7684728337003195,0.8153491162801306,0.8349601459709188
LinearSVC_balanced,C,0.7603486522806335,0.002358990285052599,0.8049726204435104,0.0033195662066018024,0.7157246841177569,0.00528671037364988,0.7152099257948628,0.008900395337074936,0.7167184265010352,0.017977923232614528,0.8289130046276562,0.011660446531754333,0.5210588667303109,0.004921173812071887,0.9546272081741533,0.0015479003024016955,0.19427855589351972,0.7503317714309257,0.7705659785622018,0.8192369077083236,0.8394349856463736
LinearSVC_balanced,D,0.7406339538753711,0.011324348455535383,0.7796265834428692,0.01021868067559223,0.7016413243078731,0.012736086011733426,0.6726336590531339,0.013746864975373807,0.7333621615955133,0.014042096931868722,0.8130121203219147,0.00884535631952897,0.4834232118211671,0.022476912319993596,0.7541831579668608,0.0026779470395408202,0.01354920409148963,0.7311173020902736,0.7520474970762857,0.8041389050738076,0.8248936270638291
